example_id                                              | status  | run_time        |
./spec/routing/out_stock_reports_routing_spec.rb[1:1:2] | passed  | 0.00393 seconds |
./spec/routing/out_stock_reports_routing_spec.rb[1:1:3] | passed  | 0.00329 seconds |
./spec/routing/out_stock_reports_routing_spec.rb[1:1:4] | passed  | 0.00312 seconds |
./spec/routing/out_stock_reports_routing_spec.rb[1:1:5] | passed  | 0.00394 seconds |
./spec/routing/out_stock_reports_routing_spec.rb[1:1:6] | passed  | 0.00385 seconds |
./spec/routing/stocks_routing_spec.rb[1:1:1]            | passed  | 0.00544 seconds |
./spec/routing/stocks_routing_spec.rb[1:1:2]            | passed  | 0.0026 seconds  |
./spec/routing/stocks_routing_spec.rb[1:1:3]            | passed  | 0.00403 seconds |
./spec/routing/stocks_routing_spec.rb[1:1:4]            | passed  | 0.00413 seconds |
./spec/routing/stocks_routing_spec.rb[1:1:5]            | passed  | 0.00276 seconds |
./spec/routing/stocks_routing_spec.rb[1:1:6]            | passed  | 0.0048 seconds  |
